rest,lat,lon,fert,addr,phone
AngelInUs,51.089307,71.409837,15, Конаева 12/1, +7 702 485 3255
CoffeBOOM,51.150404,71.457892,10, Конаева 12/1, +7 702 485 3255
Delish,51.139320,71.396472,7, Конаева 12/1, +7 702 485 3255
Koktem,51.129563,71.428590,10, Конаева 12/1, +7 702 485 3255
Luna,51.109563,71.478590,3, Конаева 12/1, +7 702 485 3255
Okadzaki, 51.119563,71.371590, 2, Конаева 12/1, +7 702 485 3255
Jeka'sDoner, 51.125563,71.401590, 18, Конаева 12/1, +7 702 485 3255
AngelInUs,49.8019,73.1021,15, Конаева 12/1, +7 702 485 3255
CoffeBOOM,49.8019,73.1021,10, Конаева 12/1, +7 702 485 3255
Delish,49.8019,73.1021,7, Конаева 12/1, +7 702 485 3255


